ミックス,時間帯,月の枠h,実効単価(仮定),時間帯稼働率,予約時間h,売上
"目標ミックス(平均約2,700円)",早朝6-9時,90,1000,10.0%,9.0,9000
"目標ミックス(平均約2,700円)",平日昼9-17時,168,1450,18.6%,31.2,45310
"目標ミックス(平均約2,700円)",平日夜17-23時,126,2550,55.0%,69.3,176715
"目標ミックス(平均約2,700円)",土日祝9-23時,126,3350,75.0%,94.5,316575
"目標ミックス(平均約2,700円)",合計,510,2684,40.0%,204.0,547600
平日昼が多いミックス,早朝6-9時,90,1000,10.0%,9.0,9000
平日昼が多いミックス,平日昼9-17時,168,1450,35.0%,58.8,85260
平日昼が多いミックス,平日夜17-23時,126,2550,45.0%,56.7,144585
平日昼が多いミックス,土日祝9-23時,126,3350,55.0%,69.3,232155
平日昼が多いミックス,合計,510,2430,38.0%,193.8,471000
土日祝頼み(平日夜が弱い),早朝6-9時,90,1000,5.0%,4.5,4500
土日祝頼み(平日夜が弱い),平日昼9-17時,168,1450,25.0%,42.0,60900
土日祝頼み(平日夜が弱い),平日夜17-23時,126,2550,40.0%,50.4,128520
土日祝頼み(平日夜が弱い),土日祝9-23時,126,3350,85.0%,107.1,358785
土日祝頼み(平日夜が弱い),合計,510,2709,40.0%,204.0,552705
