家賃(万円),初期投資(取得費を家賃連動),12ヶ月目稼働率(ランプは目標と同じ形で比例),平均単価,清掃(円/回),12ヶ月累積営業損益,回収月,12ヶ月以内に回収
5,971429,30%,2200,1500,360356,20,
5,971429,30%,2200,2000,197794,25,
5,971429,30%,2300,1500,450722,18,
5,971429,30%,2300,2000,288159,22,
5,971429,30%,2400,1500,541087,17,
5,971429,30%,2400,2000,378525,19,
5,971429,30%,2500,1500,631453,15,
5,971429,30%,2500,2000,468891,18,
5,971429,30%,2600,1500,721819,14,
5,971429,30%,2600,2000,559256,16,
5,971429,30%,2700,1500,812184,14,
5,971429,30%,2700,2000,649622,15,
5,971429,30%,2800,1500,902550,13,
5,971429,30%,2800,2000,739987,14,
5,971429,30%,2900,1500,992916,12,OK
5,971429,30%,2900,2000,830353,14,
5,971429,30%,3000,1500,1083281,12,OK
5,971429,30%,3000,2000,920719,13,
5,971429,30%,3100,1500,1173647,11,OK
5,971429,30%,3100,2000,1011084,12,OK
5,971429,35%,2200,1500,610416,16,
5,971429,35%,2200,2000,420759,19,
5,971429,35%,2300,1500,715842,15,
5,971429,35%,2300,2000,526186,17,
5,971429,35%,2400,1500,821269,14,
5,971429,35%,2400,2000,631612,15,
5,971429,35%,2500,1500,926695,13,
5,971429,35%,2500,2000,737039,14,
5,971429,35%,2600,1500,1032122,12,OK
5,971429,35%,2600,2000,842466,13,
5,971429,35%,2700,1500,1137548,12,OK
5,971429,35%,2700,2000,947892,13,
5,971429,35%,2800,1500,1242975,11,OK
5,971429,35%,2800,2000,1053319,12,OK
5,971429,35%,2900,1500,1348402,11,OK
5,971429,35%,2900,2000,1158745,11,OK
5,971429,35%,3000,1500,1453828,10,OK
5,971429,35%,3000,2000,1264172,11,OK
5,971429,35%,3100,1500,1559255,10,OK
5,971429,35%,3100,2000,1369598,10,OK
5,971429,40%,2200,1500,860475,13,
5,971429,40%,2200,2000,643725,15,
5,971429,40%,2300,1500,980962,12,OK
5,971429,40%,2300,2000,764212,14,
5,971429,40%,2400,1500,1101450,12,OK
5,971429,40%,2400,2000,884700,13,
5,971429,40%,2500,1500,1221938,11,OK
5,971429,40%,2500,2000,1005188,12,OK
5,971429,40%,2600,1500,1342425,11,OK
5,971429,40%,2600,2000,1125675,12,OK
5,971429,40%,2700,1500,1462912,10,OK
5,971429,40%,2700,2000,1246162,11,OK
5,971429,40%,2800,1500,1583400,10,OK
5,971429,40%,2800,2000,1366650,10,OK
5,971429,40%,2900,1500,1703888,9,OK
5,971429,40%,2900,2000,1487138,10,OK
5,971429,40%,3000,1500,1824375,9,OK
5,971429,40%,3000,2000,1607625,10,OK
5,971429,40%,3100,1500,1944862,9,OK
5,971429,40%,3100,2000,1728112,9,OK
5,971429,45%,2200,1500,1110534,12,OK
5,971429,45%,2200,2000,866691,13,
5,971429,45%,2300,1500,1246083,11,OK
5,971429,45%,2300,2000,1002239,12,OK
5,971429,45%,2400,1500,1381631,10,OK
5,971429,45%,2400,2000,1137788,12,OK
5,971429,45%,2500,1500,1517180,10,OK
5,971429,45%,2500,2000,1273336,11,OK
5,971429,45%,2600,1500,1652728,9,OK
5,971429,45%,2600,2000,1408884,10,OK
5,971429,45%,2700,1500,1788277,9,OK
5,971429,45%,2700,2000,1544433,10,OK
5,971429,45%,2800,1500,1923825,9,OK
5,971429,45%,2800,2000,1679981,9,OK
5,971429,45%,2900,1500,2059373,8,OK
5,971429,45%,2900,2000,1815530,9,OK
5,971429,45%,3000,1500,2194922,8,OK
5,971429,45%,3000,2000,1951078,9,OK
5,971429,45%,3100,1500,2330470,8,OK
5,971429,45%,3100,2000,2086627,8,OK
5,971429,50%,2200,1500,1360594,11,OK
5,971429,50%,2200,2000,1089656,12,OK
5,971429,50%,2300,1500,1511203,10,OK
