月(開業後),フェーズ,稼働率,予約時間h,うち平日昼h,うち平日夜h,うち土日祝h,予約件数,割引率,実効平均単価,売上,ポータル手数料,手取り売上,清掃費,家賃,その他固定費,営業損益,累積営業損益,運転資金残高,初期投資回収残(累積損益-250万),資金ライン割れ
1,P3立ち上げ,10.0%,45.0,9.5,13.1,22.4,9.6,25%,1861,83658,-25097,58561,-19134,-120000,-40000,-120573,-120573,1379427,-2620573,
2,P3立ち上げ,15.0%,67.4,14.2,19.7,33.6,14.4,0%,2481,167316,-50195,117121,-28700,-120000,-40000,-71579,-192152,1307848,-2692152,
3,P3立ち上げ,20.0%,89.9,18.9,26.2,44.8,19.1,0%,2481,223088,-66927,156162,-38267,-120000,-40000,-42105,-234257,1265743,-2734257,
4,P4最適化,23.3%,104.9,22.1,30.6,52.3,22.3,0%,2481,260270,-78081,182189,-44645,-120000,-40000,-22456,-256714,1243286,-2756714,
5,P4最適化,26.7%,119.9,25.2,34.9,59.8,25.5,0%,2481,297451,-89235,208216,-51023,-120000,-40000,-2807,-259521,1240479,-2759521,
6,P4最適化,30.0%,134.9,28.3,39.3,67.2,28.7,0%,2481,334633,-100390,234243,-57401,-120000,-40000,16842,-242679,1257321,-2742679,
7,P5安定化,32.5%,146.1,30.7,42.6,72.8,31.1,0%,2481,362519,-108756,253763,-62184,-120000,-40000,31579,-211100,1288900,-2711100,
8,P5安定化,35.0%,157.4,33.1,45.9,78.4,33.5,0%,2481,390405,-117121,273283,-66968,-120000,-40000,46316,-164784,1335216,-2664784,
9,P5安定化,37.5%,168.6,35.4,49.1,84.0,35.9,0%,2481,418291,-125487,292804,-71751,-120000,-40000,61052,-103732,1396268,-2603732,
10,P5安定化,40.0%,179.9,37.8,52.4,89.6,38.3,0%,2481,446177,-133853,312324,-76534,-120000,-40000,75789,-27943,1472057,-2527943,
11,P5安定化,42.5%,191.1,40.2,55.7,95.2,40.7,0%,2481,474063,-142219,331844,-81318,-120000,-40000,90526,62584,1562584,-2437416,
12,P5安定化,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,167847,1667847,-2332153,
13,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,273110,1773110,-2226890,
14,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,378372,1878372,-2121628,
15,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,483635,1983635,-2016365,
16,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,588898,2088898,-1911102,
17,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,694161,2194161,-1805839,
18,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,799424,2299424,-1700576,
19,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,904687,2404687,-1595313,
20,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,1009950,2509950,-1490050,
21,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,1115213,2615213,-1384787,
22,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,1220476,2720476,-1279524,
23,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,1325739,2825739,-1174261,
24,2年目,45.0%,202.3,42.5,59.0,100.8,43.1,0%,2481,501949,-150585,351364,-86101,-120000,-40000,105263,1431002,2931002,-1068998,
