家賃(万円/月),平均単価(円/h),稼働率(%),月予約時間h,月売上,月営業利益,初期投資(取得費を家賃連動),回収月数(初月からこの状態の単純計算),損益分岐稼働率
5,1500,10,51.0,76500,-60575,971429,回収不可,27.6%
5,1500,15,76.5,114750,-43362,971429,回収不可,27.6%
5,1500,20,102.0,153000,-26150,971429,回収不可,27.6%
5,1500,25,127.5,191250,-8938,971429,回収不可,27.6%
5,1500,30,153.0,229500,8275,971429,118,27.6%
5,1500,35,178.5,267750,25488,971429,39,27.6%
5,1500,40,204.0,306000,42700,971429,23,27.6%
5,1500,45,229.5,344250,59912,971429,17,27.6%
5,1500,50,255.0,382500,77125,971429,13,27.6%
5,1500,55,280.5,420750,94338,971429,11,27.6%
5,1500,60,306.0,459000,111550,971429,9,27.6%
5,1750,10,51.0,89250,-51650,971429,回収不可,21.9%
5,1750,15,76.5,133875,-29975,971429,回収不可,21.9%
5,1750,20,102.0,178500,-8300,971429,回収不可,21.9%
5,1750,25,127.5,223125,13375,971429,73,21.9%
5,1750,30,153.0,267750,35050,971429,28,21.9%
5,1750,35,178.5,312375,56725,971429,18,21.9%
5,1750,40,204.0,357000,78400,971429,13,21.9%
5,1750,45,229.5,401625,100075,971429,10,21.9%
5,1750,50,255.0,446250,121750,971429,8,21.9%
5,1750,55,280.5,490875,143425,971429,7,21.9%
5,1750,60,306.0,535500,165100,971429,6,21.9%
5,2000,10,51.0,102000,-42725,971429,回収不可,18.2%
5,2000,15,76.5,153000,-16588,971429,回収不可,18.2%
5,2000,20,102.0,204000,9550,971429,102,18.2%
5,2000,25,127.5,255000,35688,971429,28,18.2%
5,2000,30,153.0,306000,61825,971429,16,18.2%
5,2000,35,178.5,357000,87962,971429,12,18.2%
5,2000,40,204.0,408000,114100,971429,9,18.2%
5,2000,45,229.5,459000,140238,971429,7,18.2%
5,2000,50,255.0,510000,166375,971429,6,18.2%
5,2000,55,280.5,561000,192512,971429,6,18.2%
5,2000,60,306.0,612000,218650,971429,5,18.2%
5,2250,10,51.0,114750,-33800,971429,回収不可,15.5%
5,2250,15,76.5,172125,-3200,971429,回収不可,15.5%
5,2250,20,102.0,229500,27400,971429,36,15.5%
5,2250,25,127.5,286875,58000,971429,17,15.5%
5,2250,30,153.0,344250,88600,971429,11,15.5%
5,2250,35,178.5,401625,119200,971429,9,15.5%
5,2250,40,204.0,459000,149800,971429,7,15.5%
5,2250,45,229.5,516375,180400,971429,6,15.5%
5,2250,50,255.0,573750,211000,971429,5,15.5%
5,2250,55,280.5,631125,241600,971429,5,15.5%
5,2250,60,306.0,688500,272200,971429,4,15.5%
5,2500,10,51.0,127500,-24875,971429,回収不可,13.5%
5,2500,15,76.5,191250,10188,971429,96,13.5%
5,2500,20,102.0,255000,45250,971429,22,13.5%
5,2500,25,127.5,318750,80312,971429,13,13.5%
5,2500,30,153.0,382500,115375,971429,9,13.5%
5,2500,35,178.5,446250,150438,971429,7,13.5%
5,2500,40,204.0,510000,185500,971429,6,13.5%
5,2500,45,229.5,573750,220562,971429,5,13.5%
5,2500,50,255.0,637500,255625,971429,4,13.5%
5,2500,55,280.5,701250,290688,971429,4,13.5%
5,2500,60,306.0,765000,325750,971429,3,13.5%
5,2750,10,51.0,140250,-15950,971429,回収不可,12.0%
5,2750,15,76.5,210375,23575,971429,42,12.0%
5,2750,20,102.0,280500,63100,971429,16,12.0%
5,2750,25,127.5,350625,102625,971429,10,12.0%
5,2750,30,153.0,420750,142150,971429,7,12.0%
5,2750,35,178.5,490875,181675,971429,6,12.0%
5,2750,40,204.0,561000,221200,971429,5,12.0%
5,2750,45,229.5,631125,260725,971429,4,12.0%
5,2750,50,255.0,701250,300250,971429,4,12.0%
5,2750,55,280.5,771375,339775,971429,3,12.0%
5,2750,60,306.0,841500,379300,971429,3,12.0%
5,3000,10,51.0,153000,-7025,971429,回収不可,10.8%
5,3000,15,76.5,229500,36962,971429,27,10.8%
5,3000,20,102.0,306000,80950,971429,13,10.8%
5,3000,25,127.5,382500,124938,971429,8,10.8%
5,3000,30,153.0,459000,168925,971429,6,10.8%
5,3000,35,178.5,535500,212912,971429,5,10.8%
5,3000,40,204.0,612000,256900,971429,4,10.8%
5,3000,45,229.5,688500,300888,971429,4,10.8%
5,3000,50,255.0,765000,344875,971429,3,10.8%
5,3000,55,280.5,841500,388862,971429,3,10.8%
5,3000,60,306.0,918000,432850,971429,3,10.8%
5,3250,10,51.0,165750,1900,971429,512,9.8%
5,3250,15,76.5,248625,50350,971429,20,9.8%
5,3250,20,102.0,331500,98800,971429,10,9.8%
5,3250,25,127.5,414375,147250,971429,7,9.8%
5,3250,30,153.0,497250,195700,971429,5,9.8%
5,3250,35,178.5,580125,244150,971429,4,9.8%
5,3250,40,204.0,663000,292600,971429,4,9.8%
5,3250,45,229.5,745875,341050,971429,3,9.8%
5,3250,50,255.0,828750,389500,971429,3,9.8%
5,3250,55,280.5,911625,437950,971429,3,9.8%
5,3250,60,306.0,994500,486400,971429,2,9.8%
5,3500,10,51.0,178500,10825,971429,90,9.0%
5,3500,15,76.5,267750,63738,971429,16,9.0%
5,3500,20,102.0,357000,116650,971429,9,9.0%
5,3500,25,127.5,446250,169562,971429,6,9.0%
5,3500,30,153.0,535500,222475,971429,5,9.0%
5,3500,35,178.5,624750,275388,971429,4,9.0%
5,3500,40,204.0,714000,328300,971429,3,9.0%
5,3500,45,229.5,803250,381212,971429,3,9.0%
5,3500,50,255.0,892500,434125,971429,3,9.0%
5,3500,55,280.5,981750,487038,971429,2,9.0%
5,3500,60,306.0,1071000,539950,971429,2,9.0%
6,1500,10,51.0,76500,-70575,1035714,回収不可,30.5%
6,1500,15,76.5,114750,-53362,1035714,回収不可,30.5%
