項目,稼働率,検算値,concept第3版(手計算),差,判定
3-2 月次表 1ヶ月目 月の営業損益,10.0%,-61832,-62000,168,一致
3-2 月次表 1ヶ月目 累積,10.0%,-61832,-62000,168,一致
3-2 月次表 3ヶ月目 月の営業損益,20.0%,39530,40000,-470,一致
3-2 月次表 3ヶ月目 累積,20.0%,-21405,-21000,-405,一致
3-2 月次表 6ヶ月目 月の営業損益,30.0%,116795,117000,-205,一致
3-2 月次表 6ヶ月目 累積,30.0%,251715,252000,-285,一致
3-2 月次表 9ヶ月目 月の営業損益,35.0%,155428,155000,428,一致
3-2 月次表 9ヶ月目 累積,35.0%,679365,679000,365,一致
3-2 月次表 11ヶ月目 月の営業損益,38.3%,181182,181000,182,一致
3-2 月次表 11ヶ月目 累積,38.3%,1028852,1029000,-148,一致
3-2 月次表 12ヶ月目 月の営業損益,40.0%,194060,194000,60,一致
3-2 月次表 12ヶ月目 累積,40.0%,1222912,1223000,-88,一致
3-2 12ヶ月目の売上,40.0%,550800,550000,800,一致
3-3 目標 12ヶ月累積,,1222912,1220000,2912,一致
3-3 目標 回収月,,12,12,0,一致
3-3 単価2500 12ヶ月累積,,981938,980000,1938,一致
3-3 単価2500 回収月,,13,13,0,一致
3-3 立ち上げ遅れ 12ヶ月累積,,330030,330000,30,一致
3-3 立ち上げ遅れ 回収月,,21,20,1,概ね一致(前後)
3-3 影響 稼働率-5pt(毎月)(回収15ヶ月目),,-451541,-460000,8459,一致
3-3 影響 単価-200円(回収13ヶ月目),,-240975,-240000,-975,一致
3-3 影響 清掃+500円(回収13ヶ月目),,-216750,-220000,3250,一致
3-3 影響 家賃+1万円(回収13ヶ月目),,-120000,-120000,0,一致
"損益分岐 単価2700円(清掃1,500円)",14.9%,75.9,76h/15%,,一致
"損益分岐 単価2500円(清掃1,500円)",16.4%,83.6,,,参考
"損益分岐 単価2400円(清掃1,500円)",17.3%,88.1,,,参考
